frame,time_s,p_base,p_afkd,p_hibrida,gating,y_frame_gt,cost_base_ms,cost_hibr_ms,onset_frame,onset_time_s,ep_prob_base,ep_prob_kd,thr_base,thr_kd,skip_pct,cost_reduc_pct,ep_idx_te,recipe
0,0.0,0.03216998,0.06573182,0.0,0,0.05,0.885,0.0,32,3.3333333333333335,0.027721159160137177,0.13391558825969696,0.07500000000000001,0.07500000000000001,61.458333333333336,61.45833333333333,61,C02
1,0.10416666666666667,0.032299902,0.06575536,0.0,0,0.050000004,1.77,0.0,32,3.3333333333333335,0.027721159160137177,0.13391558825969696,0.07500000000000001,0.07500000000000001,61.458333333333336,61.45833333333333,61,C02
2,0.20833333333333334,0.032593504,0.06579176,0.0,0,0.050000004,2.6550000000000002,0.0,32,3.3333333333333335,0.027721159160137177,0.13391558825969696,0.07500000000000001,0.07500000000000001,61.458333333333336,61.45833333333333,61,C02
3,0.3125,0.033121258,0.065859556,0.0,0,0.050000004,3.54,0.0,32,3.3333333333333335,0.027721159160137177,0.13391558825969696,0.07500000000000001,0.07500000000000001,61.458333333333336,61.45833333333333,61,C02
4,0.4166666666666667,0.033722498,0.06590079,0.0,0,0.050000004,4.425,0.0,32,3.3333333333333335,0.027721159160137177,0.13391558825969696,0.07500000000000001,0.07500000000000001,61.458333333333336,61.45833333333333,61,C02
5,0.5208333333333334,0.034251668,0.06593147,0.0,0,0.050000004,5.3100000000000005,0.0,32,3.3333333333333335,0.027721159160137177,0.13391558825969696,0.07500000000000001,0.07500000000000001,61.458333333333336,61.45833333333333,61,C02
6,0.625,0.034426164,0.06592418,0.06592418253421783,1,0.050000004,6.195,0.915,32,3.3333333333333335,0.027721159160137177,0.13391558825969696,0.07500000000000001,0.07500000000000001,61.458333333333336,61.45833333333333,61,C02
7,0.7291666666666667,0.034309335,0.065881416,0.06592418253421783,0,0.050000004,7.08,0.915,32,3.3333333333333335,0.027721159160137177,0.13391558825969696,0.07500000000000001,0.07500000000000001,61.458333333333336,61.45833333333333,61,C02
8,0.8333333333333334,0.03418556,0.065840736,0.06592418253421783,0,0.050000004,7.965,0.915,32,3.3333333333333335,0.027721159160137177,0.13391558825969696,0.07500000000000001,0.07500000000000001,61.458333333333336,61.45833333333333,61,C02
9,0.9375,0.034104146,0.06580786,0.06592418253421783,0,0.050000004,8.85,0.915,32,3.3333333333333335,0.027721159160137177,0.13391558825969696,0.07500000000000001,0.07500000000000001,61.458333333333336,61.45833333333333,61,C02
10,1.0416666666666667,0.033878572,0.06572474,0.06592418253421783,0,0.050000004,9.735,0.915,32,3.3333333333333335,0.027721159160137177,0.13391558825969696,0.07500000000000001,0.07500000000000001,61.458333333333336,61.45833333333333,61,C02
11,1.1458333333333335,0.03389629,0.065695256,0.06569525599479675,1,0.050000004,10.620000000000001,1.83,32,3.3333333333333335,0.027721159160137177,0.13391558825969696,0.07500000000000001,0.07500000000000001,61.458333333333336,61.45833333333333,61,C02
12,1.25,0.033811882,0.06563351,0.06569525599479675,0,0.050000004,11.505,1.83,32,3.3333333333333335,0.027721159160137177,0.13391558825969696,0.07500000000000001,0.07500000000000001,61.458333333333336,61.45833333333333,61,C02
13,1.3541666666666667,0.03353822,0.0655508,0.065550796687603,1,0.050000004,12.39,2.745,32,3.3333333333333335,0.027721159160137177,0.13391558825969696,0.07500000000000001,0.07500000000000001,61.458333333333336,61.45833333333333,61,C02
14,1.4583333333333335,0.033323612,0.06551161,0.06551160663366318,1,0.050000004,13.275,3.66,32,3.3333333333333335,0.027721159160137177,0.13391558825969696,0.07500000000000001,0.07500000000000001,61.458333333333336,61.45833333333333,61,C02
15,1.5625,0.033192538,0.06547793,0.06551160663366318,0,0.050000004,14.16,3.66,32,3.3333333333333335,0.027721159160137177,0.13391558825969696,0.07500000000000001,0.07500000000000001,61.458333333333336,61.45833333333333,61,C02
16,1.6666666666666667,0.03325108,0.06546833,0.06551160663366318,0,0.050000004,15.045,3.66,32,3.3333333333333335,0.027721159160137177,0.13391558825969696,0.07500000000000001,0.07500000000000001,61.458333333333336,61.45833333333333,61,C02
17,1.7708333333333335,0.03348532,0.06550657,0.06550657004117966,1,0.050000004,15.93,4.575,32,3.3333333333333335,0.027721159160137177,0.13391558825969696,0.07500000000000001,0.07500000000000001,61.458333333333336,61.45833333333333,61,C02
18,1.875,0.033716198,0.065540805,0.06550657004117966,0,0.050000004,16.815,4.575,32,3.3333333333333335,0.027721159160137177,0.13391558825969696,0.07500000000000001,0.07500000000000001,61.458333333333336,61.45833333333333,61,C02
