id;recipe_id;nome;categoria;class_name;risk_episode;risk_episode_severity;regime;event_start;event_end;event_duration;progressive;detectable_start_035;onset_gap_035;persistent_tail;last6_mean_clean;mean_eye_gaze;mean_lane_offset;window;sensor_level
C02;C02;Critico: Fadiga com desvio cinematico;Critico;Critico;0.39378328174352645;0.39378328174352645;R1_NORMAL;29;50;22;0;32;3;0;0.05000000819563866;0.09520245343446732;0.11805877834558487;96;4
C09;C09;Critico progressivo: Bebida ao volante;Critico;Critico;0.3891082882881164;0.3891082882881164;R1_NORMAL;38;73;36;1;56;18;0;0.05000000819563866;0.2511317729949951;0.12482235580682755;96;4
C05;C05;Critico progressivo: Celular em rodovia;Critico;Critico;0.37712337374687194;0.37712337374687194;R1_NORMAL;42;73;32;1;58;16;0;0.05000000819563866;0.32500070333480835;0.1395116150379181;96;4
C04;C04;Critico: Multiplas distracoes urbanas;Critico;Critico;0.3713889718055725;0.3713889718055725;R1_NORMAL;22;45;24;0;24;2;0;0.05000000819563866;0.19805043935775757;0.1258094310760498;96;4
C07;C07;Critico progressivo: Sem cinto sob chuva;Critico;Critico;0.39318998008966444;0.39318998008966444;R1_NORMAL;37;75;39;1;57;20;0;0.05000000819563866;0.38681259751319885;0.17050272226333618;96;4
C09;C09;Critico progressivo: Bebida ao volante;Critico;Critico;0.40586234778165814;0.40586234778165814;R3_FALSE_KIN;38;73;36;1;60;22;0;0.05000000819563866;0.25438985228538513;0.1254109889268875;96;4
C08;C08;Critico progressivo: Distracao urbana multietapas;Critico;Critico;0.4310139924287796;0.4310139924287796;R2_STABLE_RISK;28;77;50;1;50;22;0;0.05000000819563866;0.30954161286354065;0.1627793163061142;96;4
C10;C10;Critico progressivo: Grooming em rodovia com fadiga;Critico;Critico;0.3918017938733101;0.3918017938733101;R1_NORMAL;40;81;42;1;66;26;0;0.05000000819563866;0.19913868606090546;0.09148985147476196;96;4
C06;C06;Critico progressivo: Fadiga noturna;Critico;Critico;0.43219998627901074;0.43219998627901074;R3_FALSE_KIN;36;81;46;1;55;19;0;0.05000000819563866;0.16261005401611328;0.09378299117088318;96;4
C01;C01;Critico: Celular em alta velocidade;Critico;Critico;0.5346178621053694;0.5346178621053694;R2_STABLE_RISK;32;44;13;0;34;2;1;0.2582327127456665;0.15261328220367432;0.1771382838487625;96;4
C03;C03;Critico: Celular sem cinto sob chuva;Critico;Critico;0.3752959698438644;0.3752959698438644;R2_STABLE_RISK;26;41;16;0;28;2;0;0.05000000819563866;0.18528765439987183;0.1738126426935196;96;4
C09;C09;Critico progressivo: Bebida ao volante;Critico;Critico;0.41704754829406737;0.41704754829406737;R1_NORMAL;38;73;36;1;56;18;0;0.05000000819563866;0.24710726737976074;0.14777684211730957;96;4
C10;C10;Critico progressivo: Grooming em rodovia com fadiga;Critico;Critico;0.4926513671875;0.4926513671875;R2_STABLE_RISK;40;81;42;1;62;22;1;0.35239267349243164;0.19160906970500946;0.11760271340608597;96;4
