seed,episode_idx,categoria,nome,recipe_id,risk_target,risk_episode,max_prob,mean_prob,ep_prob_k6,frac_above_theta,detection_frame,would_alert,theta
42,0,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,1,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,2,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,3,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,4,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,5,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,6,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,7,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,8,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,9,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,10,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,11,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,12,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,13,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,14,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,15,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,16,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,17,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,18,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,19,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,20,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,21,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,22,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,23,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,24,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0003,0.0001,0.0001,0.0,-1,0,0.1
42,25,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,26,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,27,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,28,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,29,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
42,30,Atencao,Atencao: Conducao sob chuva forte em rodovia,A01,0.0,0.050000007078051564,0.0001,0.0001,0.0001,0.0,-1,0,0.1
