seed,config,episode_id,regime,is_critical,t0_frame,t0_time_s,t,time_s,p_t,H_t,is_suppressed,y_frame_clean,phase
42,baseline_fixed,0,abrupt,1,28,2.9167,0,0.0,0.13867,0.58075,0,0.0,stable
42,baseline_fixed,0,abrupt,1,28,2.9167,1,0.1042,0.12884,0.55425,0,0.0,stable
42,baseline_fixed,0,abrupt,1,28,2.9167,2,0.2083,0.13381,0.5678,0,0.0,stable
42,baseline_fixed,0,abrupt,1,28,2.9167,3,0.3125,0.13896,0.58151,0,0.0,stable
42,baseline_fixed,0,abrupt,1,28,2.9167,4,0.4167,0.1364,0.57472,0,0.0,stable
42,baseline_fixed,0,abrupt,1,28,2.9167,5,0.5208,0.14483,0.59675,0,0.0,stable
42,baseline_fixed,0,abrupt,1,28,2.9167,6,0.625,0.13284,0.56518,0,0.0,stable
42,baseline_fixed,0,abrupt,1,28,2.9167,7,0.7292,0.12574,0.54565,0,0.0,stable
42,baseline_fixed,0,abrupt,1,28,2.9167,8,0.8333,0.12361,0.53965,0,0.0,stable
42,baseline_fixed,0,abrupt,1,28,2.9167,9,0.9375,0.17102,0.66004,0,0.0,stable
42,baseline_fixed,0,abrupt,1,28,2.9167,10,1.0417,0.18747,0.69614,0,0.0,stable
42,baseline_fixed,0,abrupt,1,28,2.9167,11,1.1458,0.17195,0.66214,0,0.0,stable
42,baseline_fixed,0,abrupt,1,28,2.9167,12,1.25,0.16732,0.65154,0,0.0,stable
42,baseline_fixed,0,abrupt,1,28,2.9167,13,1.3542,0.19053,0.70257,0,0.0,stable
42,baseline_fixed,0,abrupt,1,28,2.9167,14,1.4583,0.178,0.67569,0,0.0,stable
42,baseline_fixed,0,abrupt,1,28,2.9167,15,1.5625,0.16451,0.64499,0,0.0,stable
42,baseline_fixed,0,abrupt,1,28,2.9167,16,1.6667,0.16841,0.65406,0,0.0,stable
42,baseline_fixed,0,abrupt,1,28,2.9167,17,1.7708,0.06171,0.3342,0,0.0,stable
42,baseline_fixed,0,abrupt,1,28,2.9167,18,1.875,0.06415,0.34372,0,0.0,pre_onset
42,baseline_fixed,0,abrupt,1,28,2.9167,19,1.9792,0.06324,0.34016,0,0.0,pre_onset
42,baseline_fixed,0,abrupt,1,28,2.9167,20,2.0833,0.06062,0.3299,0,0.0,pre_onset
42,baseline_fixed,0,abrupt,1,28,2.9167,21,2.1875,0.06347,0.34108,0,0.0,pre_onset
42,baseline_fixed,0,abrupt,1,28,2.9167,22,2.2917,0.06129,0.33253,0,0.0,pre_onset
42,baseline_fixed,0,abrupt,1,28,2.9167,23,2.3958,0.06225,0.3363,0,0.0,pre_onset
